"","section","age","d18c","R","R.sd","co2","co2.sd","Sz","Sz.sd"
"1","Zhaojiachuan",27.6,-9.79276878954181,0.433540828446651,0.08704707930693,194.826642335766,1.94679223339318,451.370778570477,114.343904683812
"2","Zhaojiachuan",158.89474,-9.52514965510147,0.557847966188479,0.090035421018683,201.309877834089,8.67236991830953,359.970152827155,67.4764851264434
"3","Zhaojiachuan",174.94737,-10.8764801007893,0.460287204313153,0.085188420813966,204.39880334728,12.1636069211946,444.372088561638,101.599051228286
"4","Zhaojiachuan",251.76923,-9.83907276391778,0.543683168352153,0.076888372634973,197.441030267753,8.47919021290752,362.67027164729,59.3115220912677
"5","Zhaojiachuan",433,-9.57300890314548,0.740104071717002,0.0962643419400641,208.942046511628,4.76960864921502,281.823706143424,40.6305398735279
"6","Zhaojiachuan",643,-9.28058936014713,0.764167691497994,0.097465023093633,190.348936170213,2.17638844572072,248.686736319728,33.7926635779914
"7","Zhaojiachuan",655.83333,-8.71816720200741,0.878034654052964,0.10247707203191,196.228520295203,3.72111094522411,223.738982575292,27.9139156508871
"8","Zhaojiachuan",668.66667,-8.96218331479258,0.769914314242001,0.093799413316231,176.90809650924,5.86117166898679,230.106835224995,30.6167157319853
"9","Zhaojiachuan",796,-9.03049549785715,0.733192274130091,0.098422750149614,191.478102766798,8.42496290793021,261.31265280711,38.8627544459215
"10","Fuxian",21.204,-9.29523714258619,0.434805674013936,0.080996030388843,185.087804878049,0.957427107756345,424.894648375764,91.4637887029968
"11","Fuxian",25.668,-10.4042104798834,0.396095476507624,0.079580466443753,189.664840182648,3.30794498140462,480.024920112045,116.59062763874
"12","Fuxian",69.6274509803919,-9.52972598502902,0.455815767404673,0.08405677809315,218.286655922641,20.2998152700954,480.180141631206,114.629242982653
"13","Fuxian",135.872298624754,-10.1983395737764,0.395370009508184,0.083616371129798,201.558588969963,1.89208879284244,508.639495337531,138.147399941299
"14","Fuxian",139.227897838899,-10.8802464283193,0.368851430048162,0.079198716435545,192.209252717145,2.68700576850888,521.146808831881,140.13569008328
"15","Fuxian",142.583497053045,-10.4368354958702,0.405164272755755,0.079168177770628,191.433504037759,5.14805788623244,470.932504011264,116.062875962996
