age,BWT
153.5,-0.4
154.8,-0.8
157.2,0.8
162.0,-0.3
171.5,-0.5
173.6,-0.8
179.5,0.0
183.1,0.7
187.6,1.9
191.5,2.1
194.2,1.4
197.2,0.3
200.3,2.2
205.8,1.0
211.3,0.6
226.3,1.8
235.1,2.0
243.3,1.4
248.5,2.9
255.2,2.9
258.3,1.9
263.9,-1.5
270.2,0.2
272.7,0.9
274.5,-0.6
277.3,1.0
279.3,1.7
281.9,2.7
285.0,2.5
292.1,-0.9
298.9,-1.5
301.5,-0.5
312.8,-0.5
317.5,0.9
325.4,2.9
329.0,0.9
331.7,2.1
342.9,-0.1
346.6,-0.7
350.0,0.4
352.9,0.9
357.6,1.8
360.4,-1.6
362.4,-0.3
364.1,-0.8
368.5,1.1
371.7,0.2
374.8,-0.8
378.7,0.9
383.1,0.4
386.4,1.5
391.6,-0.3
394.2,1.1
397.1,0.6
399.7,1.1
402.2,1.4
406.0,1.6
411.1,2.5
417.0,3.2
420.4,3.5
422.5,2.8
427.9,0.7
430.5,0.7
433.4,-0.2
436.6,0.2
439.1,1.2
441.8,0.3
444.9,0.7
448.7,-0.4
453.9,-0.3
458.7,0.3
461.7,0.4
465.7,0.6
466.2,-0.1
472.4,-0.9
475.5,0.5
480.8,0.5
488.0,0.3
497.0,0.6
507.0,0.8
527.4,1.6
536.1,0.4
548.7,1.0
561.3,0.6
570.5,0.5
578.4,1.0
584.3,2.0
588.7,2.2
589.6,2.6
598.2,2.7
598.8,2.1
601.9,0.6
602.2,2.5
603.5,3.2
604.2,1.3
606.2,1.3
607.6,2.0
610.1,4.1
611.5,2.6
612.7,1.8
614.0,2.4
615.1,2.4
616.4,0.9
618.9,4.5
620.1,3.1
625.4,3.3
627.1,1.1
631.3,0.4
633.5,0.9
637.9,-0.3
643.6,-0.1
646.4,-0.3
649.0,0.6
657.7,0.1
661.3,-0.5
670.3,0.0
674.5,0.1
682.2,0.7
685.3,0.7
688.3,1.1
691.4,2.5
694.4,2.7
697.6,3.5
703.6,1.8
707.3,3.6
711.1,0.0
715.0,0.0
718.6,0.2
724.5,0.7
727.8,1.9
731.2,2.3
734.5,2.3
737.8,1.5
741.1,1.9
746.8,-0.5
753.4,0.1
757.4,0.4
762.2,0.2
775.1,1.9
781.6,3.0
786.2,3.3
789.5,2.3
794.1,0.0
802.4,0.7
805.5,0.0
812.3,0.4
821.8,0.9
827.1,0.9
832.9,2.2
845.5,1.5
851.1,0.7
863.1,0.7
869.2,3.3
872.8,0.6
880.6,0.7
888.3,-0.7
902.3,3.2
908.0,1.3
910.9,1.3
913.3,1.9
916.0,0.5
924.7,-0.5
928.0,-0.6
932.0,0.0
935.8,0.9
939.1,0.2
942.2,2.0
945.3,1.9
948.2,1.9
954.4,2.4
963.3,1.4
967.0,1.0
970.5,1.6
974.6,1.5
978.2,1.4
981.6,1.3
984.9,1.7
987.7,0.6
990.8,0.3
994.0,2.7
999.6,2.2
1003.6,1.1
1007.7,0.9
1011.3,1.0
1014.7,1.6
1017.8,1.6
1026.8,2.6
1029.9,3.2
1032.9,1.5
1036.0,2.0
1039.0,4.0
1042.0,2.0
1045.1,2.2
1048.1,0.8
1053.9,1.0
1056.9,1.8
1059.3,1.0
1066.9,2.9
1070.2,3.7
1075.6,3.9
1078.9,2.8
1082.9,3.2
1091.2,3.2
1095.5,1.2
1099.2,2.5
1104.5,0.7
1107.0,1.3
1110.0,2.1
1113.3,2.8
1116.6,2.9
1120.5,1.5
1124.9,2.2
1129.9,1.2
1134.6,1.6
1138.3,1.2
1144.3,0.1
1148.4,1.4
1152.6,1.6
1156.9,4.7
1174.5,4.6
1178.5,3.5
1182.6,3.8
1185.4,2.4
1188.6,2.9
1198.4,0.7
1208.1,0.9
1216.8,3.0
1227.5,2.3
1231.4,3.0
1235.6,4.0
1239.2,2.6
1242.4,2.5
1245.4,1.6
1248.0,0.1
1252.2,1.9
1254.4,2.1
1256.0,2.4
1258.0,1.8
1259.6,1.5
1266.3,2.2
1268.5,2.2
1270.5,1.6
1274.8,2.7
1280.3,3.3
1283.8,2.8
1300.6,1.8
1334.7,0.8
1345.2,1.8
1349.2,2.2
1352.1,2.9
1355.5,2.0
1358.7,2.6
1361.8,4.7
1364.7,3.2
1367.6,2.2
1370.4,1.1
1373.4,1.3
1376.0,1.2
1379.5,2.1
1383.0,1.7
1386.9,1.8
1391.2,3.2
1395.9,3.2
1409.0,0.2
1413.4,1.0
1417.5,1.2
1421.5,2.0
1427.0,1.9
1432.4,2.4
1438.0,3.9
1443.6,3.1
1448.1,3.7
1452.1,3.4
1457.8,1.9
1463.8,0.8
1466.7,1.2
1472.7,2.8
1475.8,4.0
1479.5,3.8
1483.4,4.3
1487.5,3.6
1495.5,2.4
1498.9,3.1
1502.3,1.9
1505.5,0.8
1508.7,2.7
1512.7,3.8
1517.1,4.2
1521.8,3.4
1525.9,4.5
1548.3,2.8
1554.1,1.4
1556.1,0.2
1559.6,3.1
1568.0,3.0
1570.6,1.5
1573.1,2.5
1575.3,0.4
1579.9,3.6
1585.1,2.7
1587.9,2.3
1597.5,2.7
1601.0,1.9
1604.5,2.1
1611.6,3.7
1615.2,2.2
1618.7,1.7
1622.3,2.8
1625.8,1.6
1629.5,0.9
1633.7,3.1
1638.0,3.4
1642.0,2.3
1645.5,2.6
1648.9,4.7
1652.0,1.5
1655.1,2.9
1658.3,2.3
1661.7,2.3
1665.2,1.6
1668.5,2.6
1671.2,2.1
1674.7,3.0
1677.8,3.3
1681.0,3.7
1684.6,4.1
1688.9,3.9
1693.6,4.8
1699.5,1.5
1708.2,0.9
1717.5,0.9
1726.5,1.1
1735.3,3.4
1744.1,1.6
1754.4,1.0
1757.1,1.9
1759.4,2.7
1779.4,1.5
1781.7,2.5
1783.6,3.1
1785.6,0.9
1787.6,1.3
1790.5,2.1
1794.1,0.7
1798.3,0.2
1802.8,4.7
1807.4,3.3
1811.7,2.6
1817.4,3.4
1833.3,1.8
1841.6,2.9
1848.4,2.4
1854.7,1.7
1860.8,1.8
1866.9,0.8
1872.6,3.3
1879.2,4.7
1885.0,3.2
1890.2,3.2
1896.5,2.8
1901.2,3.7
1906.1,3.1
1910.6,4.6
1914.7,2.9
1928.3,5.3
1931.0,6.4
1936.1,5.9
1940.5,5.3
1944.9,2.6
1947.1,2.8
1949.3,0.8
1951.5,1.2
1953.9,1.6
1956.5,4.1
1959.3,1.9
1962.3,1.3
1965.3,2.7
1968.3,2.2
1971.4,2.9
1975.0,4.0
1978.7,2.8
1986.3,3.6
1989.6,0.8
1992.5,2.3
1995.2,1.3
2000.1,0.4
2009.7,3.0
2012.6,3.2
2014.1,2.0
2016.8,2.7
2018.3,2.0
2019.7,1.7
2021.1,0.9
2022.6,3.3
2024.5,3.0
2026.6,3.2
2028.4,4.2
2035.2,2.6
2037.5,4.0
2040.0,4.7
2045.2,2.6
2047.8,3.7
2050.4,3.6
2066.2,3.3
2069.2,1.1
2072.2,1.1
2075.1,0.3
2078.3,0.8
2081.2,0.7
2084.2,3.0
2087.2,2.5
2089.7,2.4
2095.9,2.5
2102.0,2.6
2105.0,1.8
2108.1,3.4
2111.2,1.6
2114.2,3.2
2117.4,1.9
2120.6,2.7
2136.2,2.1
2144.1,3.1
2148.1,1.4
2151.8,0.9
2161.2,1.3
2164.5,1.5
2209.8,2.4
2213.4,2.3
2220.2,1.7
2223.3,2.8
2225.7,3.0
2228.2,2.7
2230.9,3.8
2233.3,4.3
2236.5,2.0
2241.7,0.9
2253.4,4.0
2261.5,3.0
2265.0,2.5
2272.1,3.0
2279.1,2.3
2282.6,1.2
2286.1,1.0
2289.7,0.7
2293.0,3.0
2296.4,3.0
2299.7,3.6
2303.1,3.0
2306.5,3.2
2309.9,3.2
2316.6,1.5
2320.0,2.2
2323.4,3.3
2326.8,1.4
2333.8,1.1
2340.5,3.8
2343.4,2.9
2346.1,3.0
2349.5,3.5
2355.1,1.7
2358.4,1.7
2361.4,1.1
2364.4,0.6
2367.2,2.0
2370.4,2.8
2373.5,3.3
2377.3,2.9
2380.3,2.7
2383.5,2.9
2386.8,3.1
2389.7,1.7
2392.6,2.4
2394.9,2.7
2423.5,2.1
2426.6,3.6
2429.2,0.5
2431.8,1.2
2434.4,2.5
2437.3,1.6
2440.2,0.2
2443.1,0.6
2445.9,1.6
2448.7,0.2
2451.5,1.0
2454.7,3.8
2466.0,2.5
2469.9,3.0
2473.8,4.6
2477.4,1.3
2480.5,1.3
2483.4,4.6
2486.3,0.8
2489.1,2.0
2492.0,2.0
2508.3,5.0
2512.5,0.9
2516.5,1.3
2520.1,0.7
2523.1,1.2
2526.1,1.4
2529.9,1.4
2533.3,1.2
2537.8,2.7
2542.5,4.0
2547.2,3.9
2556.6,3.4
2560.6,1.2
2565.0,3.0
2567.5,3.7
2576.2,3.5
2579.1,1.8
2582.1,3.8
2585.0,3.0
2587.8,4.3
2590.9,3.0
2593.1,4.1
2595.7,2.9
2601.8,2.2
2609.2,1.8
2612.1,4.4
2615.7,1.9
2665.9,1.8
2680.0,1.7
2683.8,2.1
2689.3,2.9
2696.0,2.1
2698.3,1.4
2701.0,0.6
2704.0,0.4
2713.2,1.5
2715.8,1.1
2718.6,1.3
2721.4,2.3
2724.7,4.0
2728.0,5.1
2731.9,5.9
2736.5,5.9
2739.1,4.3
2744.8,4.3
2751.4,5.1
2771.2,4.1
2774.6,3.3
2777.2,4.7
2780.0,3.0
2783.0,2.1
2786.2,2.3
2789.1,2.0
2792.2,2.8
