age,SST
5.04,29.11002083
7.92,28.28986982
11.07,29.15021531
12.39,28.81352195
13.72,28.14802753
15.05,29.05454241
16.38,27.06291397
17.7,26.85920723
19.03,27.2856098
20.36,24.8855949
21.69,25.97524123
23.02,27.97554787
24.34,26.49345601
25.67,25.92530587
27,26.42056852
28.33,26.93364202
29.65,25.78476737
30.98,25.78244763
32.31,26.63574976
33.64,26.63214628
34.84,26.95045693
35.54,25.81133589
36.35,26.38880439
37.59,26.07825746
38.83,26.04900548
40.07,26.29522619
41.32,25.70273554
48.77,25.01573389
50.01,26.63743682
51.24,26.46468315
52.46,27.08484734
53.68,27.03601633
54.89,26.62383005
56.11,26.53741274
57.33,27.01654226
58.54,26.93262575
59.76,27.22408029
60.98,26.0100586
62.16,26.60787378
63.18,26.73442536
64.11,26.88932733
65.03,27.66780124
66.88,27.43705862
67.8,27.01568081
68.72,27.80174838
69.65,26.59111331
70.57,28.10928912
71.49,28.49426032
72.42,27.92688266
73.34,28.29632658
74.26,28.6710364
75.65,28.39378925
78.9,28.24583159
82.15,28.1545044
85.4,28.76190577
88.53,28.76132686
91.2,27.59180216
93.87,27.44039234
96.29,27.65951707
97.73,27.99697545
99.18,28.55199977
100.62,28.89837382
102.07,28.72657207
103.51,28.76815912
104.96,29.11186811
106.4,28.81149445
107.84,28.73145863
109.3,29.11232215
110.8,28.55373851
112.6,28.22726766
115.6,28.89503906
118.6,29.62170771
121.5,29.83272832
124,30.32173669
126.47,30.18479552
128.8,30.10477255
131.13,29.94346739
133.18,30.03279195
134.05,28.62636858
134.93,28.3435062
135.8,26.81948724
136.68,26.93774388
137.55,27.24108602
138.43,27.11549769
139.3,27.02267382
140.34,26.97755171
142.04,26.32359761
143.74,26.01572274
145.44,26.98295267
147.14,25.6898596
148.84,27.10255978
150.54,25.99944495
152.24,25.96644312
153.94,25.34429183
155.64,25.64435978
157.29,24.27583352
158.79,25.25932631
160.35,25.22693174
161.59,25.35260391
162.82,25.34356756
164.06,25.55234129
165.3,25.12925911
166.54,26.05419518
167.77,25.89471245
169.01,25.96535513
170.57,26.67138531
173.44,26.49466921
176.3,26.22237928
179.17,26.10256856
182.04,26.13007449
185.12,25.9415649
189.23,26.37936929
194,27.1466708
196,26.79069732
198,27.16227083
200,26.33628835
202,25.99399131
203,26.24306567
204,26.01001072
205.08,26.72577308
206.16,27.15763402
207.24,28.06420052
208.32,27.8977103
214.59,27.61600565
215.68,28.11564045
216.76,29.13277834
217.84,29.2523654
218.92,29.48446832
220.1,29.29933637
221.3,28.94313137
222.57,27.19979735
223.85,26.41176564
225.2,26.43900327
226.56,26.17930278
227.97,25.88686061
229.38,26.78714465
230.8,27.27110623
232.22,27.6342526
233.63,27.61102905
235.05,27.43026966
236.47,28.34060583
237.88,28.67806791
239.3,27.56743389
240.72,28.4340578
244.2,26.9434416
248.2,26.01402891
250.6,26.07297054
252.6,25.81260081
254.6,25.66715168
255.96,25.78836942
257.15,26.02450069
258.35,25.08677804
259.54,26.79399955
260.74,26.37820087
261.93,26.36176571
263.13,26.42621708
264.32,26.11540265
265.52,25.9249406
266.71,26.10882999
267.91,25.97357235
269.1,25.33398142
270.3,25.17642651
271.56,25.11816035
272.83,26.23781289
274.09,26.14957001
275.36,26.30575638
276.62,26.57842817
277.89,26.73638217
279.15,26.53765053
280.41,26.79070593
281.68,27.32185565
282.94,28.04450545
284.21,28.23731616
285.47,28.78881294
287,28.59862896
288.75,27.83500729
290.5,27.07604648
292.25,26.8451814
294,26.40030644
296.75,26.52920871
299.5,26.77688602
302.25,27.44369492
305,27.76145165
307.75,28.03729311
310.5,28.45973771
313.25,28.76796488
316,28.65776641
317.19,28.47069104
318.38,28.39830734
319.57,28.54489956
320.76,28.52571888
321.95,28.64043714
323.14,28.81535141
324.33,29.36132537
325.52,29.39879817
326.71,29.75291748
327.9,30.01615156
329.4,28.97023784
330.9,27.8605076
332.4,27.16138296
333.9,26.72504529
334.97,26.21474719
336.05,26.77350211
337.12,27.37434624
338.2,27.36507598
339.27,27.33325967
340.34,27.11244623
341.42,26.97128021
342.49,27.47586608
343.56,26.20983728
344.64,25.83905367
345.71,25.70993155
346.79,25.50050966
349,25.61673326
351.5,25.74865776
354,25.98983836
356.5,26.0332796
359,25.59807434
