age,GMST
0.354,-5.14
0.355,-5.45
0.356,-5.20
0.357,-5.26
0.358,-4.95
0.359,-4.97
0.36,-4.69
0.361,-5.15
0.362,-5.64
0.363,-5.63
0.364,-5.39
0.365,-5.50
0.366,-5.38
0.367,-5.37
0.368,-5.38
0.369,-5.07
0.37,-4.99
0.371,-4.86
0.372,-4.89
0.373,-5.25
0.374,-5.05
0.375,-4.88
0.376,-4.70
0.377,-4.34
0.378,-4.13
0.379,-3.79
0.38,-3.60
0.381,-3.46
0.382,-3.46
0.383,-3.26
0.384,-3.19
0.385,-3.40
0.386,-3.54
0.387,-2.54
0.388,-2.80
0.389,-2.70
0.39,-2.52
0.391,-2.24
0.392,-1.82
0.393,-1.91
0.394,-1.96
0.395,-1.83
0.396,-2.01
0.397,-1.33
0.398,-1.45
0.399,-1.14
0.4,-0.68
0.401,-0.35
0.402,0.06
0.403,0.65
0.404,1.00
0.405,0.61
0.406,0.47
0.407,0.53
0.408,0.49
0.409,0.67
0.41,0.40
0.411,0.03
0.412,0.02
0.413,0.26
0.414,-0.11
0.415,0.06
0.416,-0.09
0.417,-1.14
0.418,-1.38
0.419,-1.73
0.42,-2.46
0.421,-3.00
0.422,-3.44
0.423,-3.78
0.424,-4.20
0.425,-4.41
0.426,-4.66
0.427,-4.86
0.428,-5.14
0.429,-4.93
0.43,-4.90
0.431,-5.36
0.432,-5.52
0.433,-5.67
0.434,-5.79
0.435,-5.89
0.436,-5.60
0.437,-5.98
0.438,-6.17
0.439,-6.18
0.44,-5.99
0.441,-5.99
0.442,-5.90
0.443,-6.05
0.444,-6.17
0.445,-6.12
0.446,-6.24
0.447,-6.29
0.448,-6.25
0.449,-6.08
0.45,-5.98
0.451,-5.84
0.452,-5.99
0.453,-6.30
0.454,-6.38
0.455,-6.42
0.456,-6.55
0.457,-6.61
0.458,-6.44
0.459,-6.52
0.46,-6.81
0.461,-7.07
0.462,-7.08
0.463,-6.96
0.464,-6.72
0.465,-6.65
0.466,-6.74
0.467,-6.61
0.468,-6.47
0.469,-6.34
0.47,-6.07
0.471,-6.35
0.472,-5.75
0.473,-5.53
0.474,-5.22
0.475,-4.96
0.476,-4.88
0.477,-4.76
0.478,-4.60
0.479,-4.25
0.48,-4.14
0.481,-4.23
0.482,-3.91
0.483,-3.38
0.484,-3.48
0.485,-3.54
0.486,-3.58
0.487,-3.55
0.488,-3.40
0.489,-3.03
0.49,-2.59
0.491,-2.46
0.492,-2.45
0.493,-2.40
0.494,-2.29
0.495,-2.39
0.496,-2.26
0.497,-2.10
0.498,-2.07
0.499,-1.98
0.5,-2.09
0.501,-2.23
0.502,-2.30
0.503,-2.37
0.504,-2.48
0.505,-2.59
0.506,-2.73
0.507,-2.88
0.508,-3.07
0.509,-3.41
0.51,-3.23
0.511,-3.21
0.512,-3.25
0.513,-3.35
0.514,-3.42
0.515,-3.48
0.516,-3.56
0.517,-3.40
0.518,-3.50
0.519,-3.42
0.52,-3.48
0.521,-3.51
0.522,-3.43
0.523,-3.36
0.524,-3.40
0.525,-3.50
0.526,-3.49
0.527,-3.61
0.528,-3.78
0.529,-3.64
0.53,-3.93
0.531,-4.06
0.532,-4.06
0.533,-4.39
0.534,-4.58
0.535,-4.78
0.536,-4.90
0.537,-4.96
0.538,-5.04
0.539,-5.21
0.54,-5.18
0.541,-5.38
0.542,-5.43
0.543,-4.97
0.544,-5.12
0.545,-4.86
0.546,-4.60
0.547,-4.54
0.548,-4.46
0.549,-4.48
0.55,-4.40
0.551,-4.39
0.552,-4.30
0.553,-4.10
0.554,-3.79
0.555,-3.93
0.556,-3.89
0.557,-3.98
0.558,-3.66
0.559,-3.66
0.56,-3.35
0.561,-3.40
0.562,-3.25
0.563,-3.12
0.564,-2.89
0.565,-2.58
0.566,-2.40
0.567,-2.17
0.568,-2.12
0.569,-2.29
0.57,-2.30
0.571,-2.33
0.572,-2.27
0.573,-1.91
0.574,-1.75
0.575,-1.57
0.576,-1.55
0.577,-1.57
0.578,-1.73
0.579,-1.81
0.58,-2.08
0.581,-2.39
0.582,-2.40
0.583,-2.35
0.584,-2.06
0.585,-2.08
0.586,-2.08
0.587,-2.19
0.588,-2.26
