period,Age,CO2,higher,lower,author
G,891.9,202.01,22.8,22.8,dyez
G,900,312.84,45.37,45.37,dyez
G,900,279,25,25,Seki
G,900,280,25,25,Seki
G,930.47,246.73,24.66,22.63,sosdian
G,1087.26,228.15,35.21,33.89,chalk
G,1087.26,243.98,33.09,33.09,dyez
G,1087.26,232.86,27.37,24.96,sosdian
G,1088.69,255.08,37.68,36.51,chalk
G,1088.69,271.93,35.49,35.49,dyez
G,1088.69,257.79,31.05,27.12,sosdian
G,1090.03,218.11,33.25,32.61,chalk
G,1090.03,233.55,31.65,31.65,dyez
G,1090.03,223.46,24.86,22.67,sosdian
G,1092.67,236.66,36.65,34.58,chalk
G,1092.67,253.57,34.52,34.52,dyez
G,1092.67,242.14,28.26,25.54,sosdian
G,1094.71,246.54,37.36,36.54,chalk
G,1094.71,263.76,36.98,36.98,dyez
G,1094.71,251.16,30.96,26.88,sosdian
G,1099.46,322.55,44.6,42.53,chalk
G,1099.46,343.51,44.57,44.57,dyez
G,1099.46,320.95,39.69,33.75,sosdian
G,1102.42,300.97,42.96,40.89,chalk
G,1102.42,320.33,40.87,40.87,dyez
G,1102.42,301.81,36.05,32.6,sosdian
G,1103.16,286.69,43.96,42.5,chalk
G,1103.16,330.27,52.82,52.82,dyez
G,1103.16,286.05,38.76,33.81,sosdian
G,1115.26,222.34,34.1,33.39,chalk
G,1115.26,239.51,33.74,33.74,dyez
G,1115.26,227.64,26.65,24.04,sosdian
G,1117.86,208.91,32.16,31.61,chalk
G,1117.86,225.64,31.39,31.39,dyez
G,1117.86,215.33,24.03,21.61,sosdian
G,1120.36,243.36,35.9,35.12,chalk
G,1120.36,263.28,32.94,32.94,dyez
G,1120.36,248.31,27.33,24.69,sosdian
G,1123.09,196.93,31.13,30.62,chalk
G,1123.09,215.15,31.58,31.58,dyez
G,1123.09,205.25,22.59,21.25,sosdian
G,1126.06,242.75,36.77,35.21,chalk
G,1126.06,264.53,36.26,36.26,dyez
G,1126.06,246.43,29.02,26.76,sosdian
G,1127.81,241.56,36.53,35.2,chalk
G,1127.81,263.24,36.6,36.6,dyez
G,1127.81,244.73,29.62,27.08,sosdian
G,1130.97,246.52,36.05,34.84,chalk
G,1130.97,268.16,33.05,33.05,dyez
G,1130.97,249.59,28.55,25.97,sosdian
G,1136.57,292.22,40.86,38.69,chalk
G,1136.57,316.23,36.75,36.75,dyez
G,1136.57,291.67,34.3,29.86,sosdian
G,1140.03,308.47,45.21,42.31,chalk
G,1140.03,333.07,43.94,43.94,dyez
G,1140.03,305.43,37.85,33.23,sosdian
G,1191.31,211.02,32.71,31.44,chalk
G,1191.31,230.23,30.35,30.35,dyez
G,1191.31,215.8,24.29,22.66,sosdian
G,1192.4,213.02,24.2,24.2,dyez
G,1192.45,208.96,16.21,16.21,hoenisch
G,1195.15,203.27,32.63,31.06,chalk
G,1195.15,223.04,31.21,31.21,dyez
G,1195.15,208.27,25.13,22.81,sosdian
G,1203.26,189.3,30.68,29.64,chalk
G,1203.26,207.02,30.24,30.24,dyez
G,1203.26,195.5,22.3,20.35,sosdian
G,1206.76,212.98,32.3,31.77,chalk
G,1206.76,232.21,30.87,30.87,dyez
G,1206.76,219.15,25.18,22.27,sosdian
G,1209.99,235.15,36.45,34.15,chalk
G,1209.99,255.44,33.36,33.36,dyez
G,1209.99,238.88,29.19,26,sosdian
G,1212.5,226.41,26.4,26.4,dyez
G,1212.55,221.3,17.3,17.3,hoenisch
G,1214.48,288.05,40.13,39.12,chalk
G,1214.48,309.8,38.45,38.45,dyez
G,1214.48,287.94,36.15,31.25,sosdian
G,1253,204.31,23.35,23.35,dyez
G,1253,200.59,15.39,15.39,hoenisch
G,1261.66,237.73,18.85,18.85,hoenisch
G,1261.7,241.02,28.43,28.43,dyez
G,1380.31,219.77,24.1,24.1,dyez
G,1408,326.84,64.84,64.84,dyez
G,1412.7,218.4,17.01,17.01,hoenisch
G,1414,260.47,30.76,30.76,dyez
G,1420,200.75,27.33,27.33,dyez
G,1455.52,237.1,29.91,29.91,dyez
G,1459.38,260.68,31.91,31.91,dyez
G,1464.52,248.87,28.89,28.89,dyez
G,1493,214.55,24.14,24.14,dyez
G,1496.43,200.98,23.52,23.52,dyez
G,1499,223.78,22.98,22.98,dyez
G,1499,225.28,25.79,25.79,dyez
G,1499.16,266.35,21.36,21.36,hoenisch
