period,Age,CO2,higher,lower,author
IG,1931.75,296.7,24.62,24.62,hoenisch
IG,1975.13,201.6,45.66,51.92,Bartoli
IG,1975.13,202.27,33,33,dyez
IG,1979.3,286.35,23.47,23.47,hoenisch
IG,2019.29,347.53,64.31,46.2,delaVega
IG,2019.29,364.61,50.12,44.01,sosdian
IG,2019.73,279.98,22.76,22.76,hoenisch
IG,2026.54,244.7,51.46,59.36,Bartoli
IG,2026.54,234.26,38.29,38.29,dyez
IG,2210,243.86,38.49,32.23,sosdian
IG,2304.67,220.6,48.18,55.16,Bartoli
IG,2304.67,210.41,36.04,36.04,dyez
IG,2337.82,323.07,50.26,50.26,dyez
IG,2337.82,317.42,69.57,62.55,mart’nez-bot’
IG,2337.82,287.9,39.39,33.98,sosdian
IG,2340.14,310.84,57.34,43.46,delaVega
IG,2346.71,322.89,65.25,65.25,dyez
IG,2346.71,317.56,77.29,65.95,mart’nez-bot’
IG,2346.71,286.77,44.41,38.01,sosdian
IG,2347.23,369.1,85.2,73.04,mart’nez-bot’
IG,2378.92,397.52,72,57.4,delaVega
IG,2381.29,377.94,66.87,66.87,dyez
IG,2381.29,371.26,84.44,73.31,mart’nez-bot’
IG,2381.29,333.35,48.12,39.75,sosdian
IG,2388.39,365.24,60.9,56.15,delaVega
IG,2410.92,284.49,43.31,43.31,dyez
IG,2410.92,277.5,61.69,54.14,mart’nez-bot’
IG,2410.92,257.88,32.22,29.52,sosdian
IG,2410.93,278.03,48.7,40.04,delaVega
IG,2417.17,441.68,115.13,94.29,mart’nez-bot’
IG,2424.89,342.68,54.58,54.58,dyez
IG,2424.89,332.1,72.86,65.5,mart’nez-bot’
IG,2424.89,303.33,39.22,35.22,sosdian
IG,2426.63,328.64,56.17,47.98,delaVega
IG,2454.51,317.71,54.3,46.75,delaVega
IG,2473.82,337.65,57.02,48.56,delaVega
IG,2474.49,350.9,56.13,56.13,dyez
IG,2474.49,340.33,75.21,66.63,mart’nez-bot’
IG,2474.49,312,40.3,35.52,sosdian
IG,2497.34,351.97,60.93,50.72,delaVega
IG,2498.3,349.77,69,44.74,delaVega
IG,2498.36,422.79,97.96,84.97,mart’nez-bot’
IG,2500.4,366.56,62.15,62.15,dyez
IG,2500.4,356.63,80.17,68.93,mart’nez-bot’
IG,2500.4,325.81,44.22,38.82,sosdian
IG,2501.4,371.83,59.56,59.56,dyez
IG,2501.4,362.03,81.02,69.29,mart’nez-bot’
IG,2501.4,329.85,43.64,38.07,sosdian
IG,2502.94,350.4,66.78,78.63,Bartoli
IG,2502.94,289.4,50.43,50.43,dyez
IG,2540.44,333.81,55.9,50.82,delaVega
IG,2545.15,343.36,55.24,55.24,dyez
IG,2545.15,335.45,73.61,64.8,mart’nez-bot’
IG,2545.15,307.41,39.62,35.59,sosdian
IG,2550,230.77,30.81,28.79,sosdian
IG,2579.43,338.08,51.73,51.73,dyez
IG,2579.43,329.81,73.35,64.4,mart’nez-bot’
IG,2579.43,303.63,38.69,34.33,sosdian
IG,2586.5,326.17,57.93,46.25,delaVega
IG,2592,284.38,49.06,49.06,dyez
IG,2592,276,25,25,Seki
IG,2594.84,373.79,67.31,67.31,dyez
IG,2594.84,361.67,81.91,70.45,mart’nez-bot’
IG,2594.84,333,46.72,40.29,sosdian
