age,co2
203.317,232.2
203.837,228.6
204.48,226.3
204.908,229.4
205.362,231.4
205.952,238.1
206.144,237.2
206.81,230
207.12,240.5
207.544,242.2
208.064,244.6
208.254,243.9
208.803,247.2
208.995,252
209.432,246.9
209.817,239.5
210.154,257.4
210.813,243.4
211.858,251.2
212.716,241.4
213.27,240.3
213.536,242.6
213.984,247.5
214.459,251.7
214.794,251.1
215.382,245.3
216.352,240.5
218.361,214.1
219.116,216.1
220.058,207.1
220.739,208.8
222.03,205.6
224.269,203.3
224.923,215.7
225.909,235.5
226.711,234.5
227.027,233.1
227.776,224.5
229.423,232.4
230.422,233.9
231.066,241.6
234.817,245.2
235.48,252.1
236.114,241.4
236.734,247.4
237.294,243.1
237.868,239.1
238.558,245.6
239.013,245.8
239.477,247.4
239.973,252.8
240.945,259.7
241.366,263.2
242.007,279
242.346,280.2
243.071,263.7
243.429,252.3
243.856,249.9
244.347,236.7
244.864,230.4
245.441,219.4
247.681,214.7
250.133,200.2
251.005,213.9
251.864,195.4
252.739,196.7
253.636,195.4
255.498,199
256.309,201.9
257.1,204
258.661,203.9
260.353,209.6
260.916,205.7
262.092,208.9
262.93,214.6
264.509,228.1
265.653,199.9
266.326,211.7
267.442,188.7
268.181,187.2
269.154,194.2
270.222,198.8
271.256,184.7
272.311,190.4
273.31,193.9
274.321,194.1
275.35,198.4
276.326,193.2
277.361,202.2
278.35,204.5
279.32,211
280.269,215.3
281.758,223.7
283.785,231.3
285.38,228
286.128,226.4
287.036,231.4
287.538,230.4
288.233,231
290.153,234.9
290.73,220.4
291.367,217.1
292.405,207.6
293.057,206
293.779,206.7
294.568,212.7
295.93,213.1
297.921,217.1
298.741,224.4
299.621,231
300.472,236.1
301.402,239
302.28,236
303.226,240.2
304.232,240.7
304.901,250.2
305.655,248.6
306.547,244.8
307.495,225.8
308.744,227.8
309.389,226.2
310.168,233.2
311.013,237.8
311.868,239
312.676,241.9
313.414,251.6
314.144,256.7
314.867,257.1
315.572,246.8
316.2,272.6
316.897,251.6
317.734,245.2
318.559,233.4
319.48,255.8
320.358,249.2
322.015,257.2
322.767,260.4
323.526,260.3
324.28,260.5
324.971,266.2
325.72,264
326.321,266.1
326.972,270.1
327.59,271.9
328.221,275.1
329.475,265
330.208,271.7
330.74,272.6
331.438,273.1
331.944,282.4
332.285,289.1
332.462,288.4
